cancer,infiltrates,rho,p,adj.p
LUAD (n=516),Plasmacytoid dendritic cell_XCELL,-0.110162869869338,0.0143948489895631,0.0393655054000296
LUAD (n=516),T cell CD4+ (non-regulatory)_QUANTISEQ,0.16304670095958,0.000277560771788249,0.00137752383035649
LUAD (n=516),T cell CD4+ (non-regulatory)_XCELL,-0.00682606658609437,0.879833491039596,0.958517786986226
LUAD (n=516),T cell CD4+ central memory_XCELL,-0.0236393657843356,0.600542943021734,0.724979769053265
LUAD (n=516),T cell CD4+ effector memory_XCELL,-0.0676910999878621,0.133383249038489,0.215341630977801
LUAD (n=516),T cell CD4+ memory activated_CIBERSORT,0.106872665003646,0.0176091101641214,0.0453773223460052
LUAD (n=516),T cell CD4+ memory activated_CIBERSORT-ABS,0.101260344755859,0.0245494760650796,0.0596776046304927
LUAD (n=516),T cell CD4+ memory resting_CIBERSORT,0.10065483968772,0.0254235608027532,0.0597676692555952
LUAD (n=516),T cell CD4+ memory resting_CIBERSORT-ABS,0.00587951264560691,0.896395452946686,0.960935925558847
LUAD (n=516),T cell CD4+ memory_ABIS,-0.0862487929094284,0.0556533709147765,0.105035939472959
LUAD (n=516),T cell CD4+ memory_XCELL,0.113532224503575,0.011649533437426,0.0339355974046756
LUAD (n=516),T cell CD4+ naive_ABIS,0.154181092230435,0.000592011579820834,0.00255901779664489
LUAD (n=516),T cell CD4+ naive_CIBERSORT,0.0592167723680522,0.189304217051915,0.288258694147234
LUAD (n=516),T cell CD4+ naive_CIBERSORT-ABS,0.0592167723680522,0.189304217051915,0.288258694147234
LUAD (n=516),T cell CD4+ naive_XCELL,-0.176183794057335,8.39655093316262e-05,0.00046880742710158
LUAD (n=516),T cell CD4+ Th1_XCELL,-0.0920875248715617,0.0409704407551378,0.0844621394028996
LUAD (n=516),T cell CD4+ Th2_XCELL,0.183336036079219,4.21898140473791e-05,0.000297549214860463
LUAD (n=516),T cell CD4+_CONSENSUS_TME,-0.0168390403664168,0.709174702104464,0.809507913191759
LUAD (n=516),T cell CD4+_EPIC,0.0433456431273649,0.336834906994002,0.460570178950983
LUAD (n=516),T cell CD4+_TIMER,-0.0677650082146039,0.132958872004971,0.215341630977801
LUAD (n=516),T cell CD8+ central memory_XCELL,-0.11967870615216,0.00781128125122414,0.0237889019923644
LUAD (n=516),T cell CD8+ effector memory_XCELL,-0.0982017696623341,0.0292448538761855,0.066661000302425
LUAD (n=516),T cell CD8+ memory_ABIS,-0.00784339716077761,0.862091590789655,0.954713001370362
LUAD (n=516),T cell CD8+ naive_ABIS,0.0376977429353921,0.403606305520415,0.545913793322318
LUAD (n=516),T cell CD8+ naive_XCELL,0.0359386245285431,0.425916619799449,0.562689602492216
LUAD (n=516),T cell CD8+_CIBERSORT,0.029918712383958,0.507480885095324,0.647642272407365
LUAD (n=516),T cell CD8+_CIBERSORT-ABS,-0.0477297415204751,0.290199100843747,0.409333468558549
LUAD (n=516),T cell CD8+_CONSENSUS_TME,-0.157850060665016,0.000434775125680212,0.00208070953004102
LUAD (n=516),T cell CD8+_EPIC,0.092709309610626,0.0396200241451826,0.0829544255539761
LUAD (n=516),T cell CD8+_MCPCOUNTER,-0.0507077588043163,0.261114871312055,0.384498821492477
