cancer,infiltrates,rho,p,adj.p
LUAD (n=516),T cell CD4+ Th1_XCELL,0.403062228442096,1.107511998405e-20,7.4203303893135e-19
LUAD (n=516),T cell CD4+ Th2_XCELL,0.403533043663768,9.89690141899055e-21,7.4203303893135e-19
LUAD (n=516),T cell CD4+_CONSENSUS_TME,0.0319512860567617,0.479061053707327,0.562444104552142
LUAD (n=516),T cell CD4+_EPIC,0.118054608317258,0.00869638759704664,0.0208092131786473
LUAD (n=516),T cell CD4+_TIMER,0.0458904793110631,0.309208963992994,0.414340011750611
LUAD (n=516),T cell CD8+ central memory_XCELL,-0.166158558371178,0.000210770577316249,0.00068885993561896
LUAD (n=516),T cell CD8+ effector memory_XCELL,0.0727684852985333,0.10657925006443,0.168019053042748
LUAD (n=516),T cell CD8+ memory_ABIS,0.0511030080776399,0.257411385976404,0.36308553390356
LUAD (n=516),T cell CD8+ naive_ABIS,0.0816128898501077,0.0702149538779918,0.120625689995524
LUAD (n=516),T cell CD8+ naive_XCELL,-0.00832059839369978,0.853792639898189,0.880063182664287
LUAD (n=516),T cell CD8+_CIBERSORT,0.0803722037808559,0.0746013284894251,0.126538962247886
LUAD (n=516),T cell CD8+_CIBERSORT-ABS,0.0925389130912529,0.039986297936035,0.074418943380954
LUAD (n=516),T cell CD8+_CONSENSUS_TME,0.0395647616502229,0.380707444424694,0.486777287860978
LUAD (n=516),T cell CD8+_EPIC,-0.294683805830311,2.46850505915588e-11,5.51299463211479e-10
LUAD (n=516),T cell CD8+_MCPCOUNTER,0.0496533231387093,0.271174032777527,0.374611550434935
LUAD (n=516),T cell CD8+_QUANTISEQ,0.0498465815178857,0.269310837844165,0.374611550434935
LUAD (n=516),T cell CD8+_TIMER,0.09130727959127,0.0427198263219158,0.0784172154402289
LUAD (n=516),T cell CD8+_XCELL,-0.194360952849682,1.38597160938433e-05,6.40414467784482e-05
LUAD (n=516),T cell NK_XCELL,-0.102520772959674,0.0228128967305024,0.0470296640290357
LUAD (n=516),T cell regulatory (Tregs)_CIBERSORT,-0.0316878757970993,0.482694567339525,0.562444104552142
LUAD (n=516),T cell regulatory (Tregs)_CIBERSORT-ABS,-0.0231199165074917,0.608573463134669,0.673957388925997
LUAD (n=516),T cell regulatory (Tregs)_CONSENSUS_TME,-0.10679405583038,0.0176930243955153,0.0376327820476039
LUAD (n=516),T cell regulatory (Tregs)_QUANTISEQ,-0.0408677288343413,0.365208110849973,0.475125115086372
LUAD (n=516),T cell regulatory (Tregs)_XCELL,0.0412128821007626,0.361169122622913,0.474477082661474
LUAD (n=516),Th1_ImmuCellAI,0.0610725485686307,0.17578346551429,0.264662745830504
LUAD (n=516),Th17_ImmuCellAI,0.0061590441423129,0.891499441588098,0.906044218303174
LUAD (n=516),Th2_ImmuCellAI,-0.0263907955566651,0.558826717301438,0.634599831511802
LUAD (n=516),Tr1_ImmuCellAI,0.112033481348364,0.012807668070941,0.0286037920251016
