"Gene","ImmuneCell","Algorithm","rho_ms","rho","any_mismatch","sign_flip"
"NUP88","Monocyte","MCPCOUNTER",-0.075,-0.075,FALSE,FALSE
"NUP88","Monocyte","QUANTISEQ",-0.014,-0.014,FALSE,FALSE
"NUP88","Monocyte","XCELL",-0.118,-0.118,FALSE,FALSE
"NUP88","Myeloid dendritic cell","MCPCOUNTER",-0.095,-0.095,FALSE,FALSE
"NUP88","Myeloid dendritic cell","QUANTISEQ",0.027,0.027,FALSE,FALSE
"NUP88","Myeloid dendritic cell","TIMER",-0.233,-0.233,FALSE,FALSE
"NUP88","Myeloid dendritic cell","XCELL",-0.089,-0.089,FALSE,FALSE
"NUP88","Myeloid dendritic cell activated","CIBERSORT",0.09,0.09,FALSE,FALSE
"NUP88","Myeloid dendritic cell activated","CIBERSORT-ABS",0.077,0.077,FALSE,FALSE
"NUP88","Myeloid dendritic cell activated","XCELL",-0.192,-0.192,FALSE,FALSE
"NUP88","Neutrophil","CIBERSORT",-0.057,0.129,TRUE,TRUE
"NUP88","Neutrophil","CIBERSORT-ABS",-0.027,0.105,TRUE,TRUE
"NUP88","Neutrophil","MCPCOUNTER",-0.105,0.084,TRUE,TRUE
"NUP88","Neutrophil","QUANTISEQ",-0.03,-0.006,TRUE,FALSE
"NUP88","Neutrophil","TIMER",-0.046,-0.077,TRUE,FALSE
"NUP88","Neutrophil","XCELL",-0.078,0.073,TRUE,TRUE
"NUP88","NK cell","EPIC",-0.157,-0.157,TRUE,FALSE
"NUP88","NK cell","MCPCOUNTER",-0.095,-0.095,FALSE,FALSE
"NUP88","NK cell","QUANTISEQ",-0.144,-0.144,TRUE,FALSE
"NUP88","NK cell","XCELL",0.056,0.056,FALSE,FALSE
"NUP88","NK cell activated","CIBERSORT",0.027,0.027,FALSE,FALSE
"NUP88","NK cell activated","CIBERSORT-ABS",-0.049,-0.049,FALSE,FALSE
"NUP88","NK cell resting","CIBERSORT",-0.033,-0.033,FALSE,FALSE
"NUP88","NK cell resting","CIBERSORT-ABS",-0.037,-0.037,FALSE,FALSE
"NUP88","T cell CD4+","TIMER",-0.297,-0.068,TRUE,FALSE
"NUP88","T cell CD4+ (non-regulatory)","XCELL",0.071,-0.007,TRUE,TRUE
"NUP88","T cell CD4+ memory activated","CIBERSORT",0.151,0.107,TRUE,FALSE
"NUP88","T cell CD4+ memory activated","CIBERSORT-ABS",0.147,0.101,TRUE,FALSE
"NUP88","T cell CD4+ memory resting","CIBERSORT",-0.198,0.101,TRUE,TRUE
"NUP88","T cell CD4+ memory resting","CIBERSORT-ABS",-0.149,0.006,TRUE,TRUE
"NUP88","T cell CD4+ naive","CIBERSORT",0.014,0.059,TRUE,FALSE
"NUP88","T cell CD4+ naive","CIBERSORT-ABS",-0.005,0.059,TRUE,TRUE
"NUP88","T cell CD4+ naive","XCELL",-0.083,-0.176,TRUE,FALSE
"NUP88","T cell CD4+ Th1","XCELL",0.169,-0.092,TRUE,TRUE
"NUP88","T cell CD4+ Th2","XCELL",0.342,0.183,TRUE,FALSE
"NUP88","T cell CD8+","CIBERSORT",-0.034,0.03,TRUE,TRUE
"NUP88","T cell CD8+","CIBERSORT-ABS",0.06,-0.048,TRUE,TRUE
"NUP88","T cell CD8+","EPIC",0.115,0.093,TRUE,FALSE
"NUP88","T cell CD8+","MCPCOUNTER",-0.094,-0.051,TRUE,FALSE
"NUP88","T cell CD8+","QUANTISEQ",0.029,-0.075,TRUE,TRUE
"NUP88","T cell CD8+","TIMER",-0.08,-0.083,TRUE,FALSE
"NUP88","T cell CD8+","XCELL",-0.071,-0.13,TRUE,FALSE
"NUP88","T cell CD8+ central memory","XCELL",-0.155,-0.12,TRUE,FALSE
"NUP88","T cell CD8+ effector memory","XCELL",0.03,-0.098,TRUE,TRUE
"NUP88","T cell CD8+ naive","XCELL",0.077,0.036,TRUE,FALSE
"NUP88","T cell NK","XCELL",-0.252,-0.252,FALSE,FALSE
"NUP88","T cell regulatory (Tregs)","CIBERSORT",-0.319,-0.243,TRUE,FALSE
"NUP88","T cell regulatory (Tregs)","CIBERSORT-ABS",-0.252,-0.238,TRUE,FALSE
"NUP88","T cell regulatory (Tregs)","QUANTISEQ",-0.105,-0.186,TRUE,FALSE
"NUP88","T cell regulatory (Tregs)","XCELL",0.054,-0.048,TRUE,TRUE
