"Marker","HR","CI_low","CI_high","pvalue","Surv5y_High","Surv5y_Low"
"LMNB2",1.304,1.097,1.548,0.00255,38.8,47.5
"TMPO",1.288,1.092,1.52,0.00268,40.9,46.1
"NDC1",1.259,1.072,1.479,0.00493,37.5,49.4
"LBR",1.218,1.033,1.435,0.019,38.5,48.2
"Score A",1.472,1.193,1.816,0.000305,35.3,50.7
